"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2020","9,215.7","9,215.7","9,215.7","9,215.7","0.03K","-6.98%"
"07/16/2020","9,907.4","9,907.4","9,907.4","9,907.4","0.42K","-6.61%"
"07/15/2020","10,608.4","10,608.4","10,608.4","10,608.4","0.01K","3.65%"
"07/14/2020","10,234.5","10,234.5","10,234.5","10,234.5","0.01K","5.29%"
"07/13/2020","9,720.5","8,598.9","9,720.5","8,598.9","0.05K","5.16%"
"07/10/2020","9,243.8","9,243.8","9,243.8","9,243.8","0.01K","6.92%"
"07/09/2020","8,645.6","7,664.2","8,645.6","7,664.2","0.02K","6.94%"
"07/08/2020","8,084.8","8,084.8","8,084.8","8,084.8","0.34K","-6.99%"
"07/07/2020","8,692.3","8,692.3","8,692.3","8,692.3","0.01K","-6.63%"
"06/26/2020","9,309.2","9,318.5","9,318.5","9,309.2","1.39K","-6.92%"
"06/25/2020","10,000.9","8,692.3","10,000.9","8,692.3","0.04K","7.00%"
"06/24/2020","9,346.6","8,196.2","9,391.5","8,196.2","0.13K","6.12%"
